CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0.45,358.06,30.03,73.59,1012.77,19.08,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,358.06,30.03,73.58,1012.78,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,352.98,30.03,73.56,1012.77,19.14,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,364.51,30.04,73.55,1012.8,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,358.06,30.04,73.53,1012.78,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,349.21,30.04,73.51,1012.79,19.09,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,352.98,30.05,73.49,1012.77,19.08,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.44,352.98,30.05,73.48,1012.79,19.09,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.46,350.46,30.05,73.47,1012.76,19.09,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.44,351.72,30.05,73.47,1012.83,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,345.48,30.05,73.47,1012.87,19.09,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.44,347.96,30.05,73.46,1012.8,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,343.01,30.05,73.45,1012.82,19.26,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,339.35,30.05,73.43,1012.81,19.6,Warning: High Humidity (Respiratory Risk),60.0
0.43,343.01,30.05,73.43,1012.82,19.75,Warning: High Humidity (Respiratory Risk),60.0
0.43,341.79,30.05,73.44,1012.84,19.73,Warning: High Humidity (Respiratory Risk),60.0
0.43,343.01,30.05,73.45,1012.81,19.58,Warning: High Humidity (Respiratory Risk),60.0
0.46,350.46,30.04,73.46,1012.81,19.61,Warning: High Humidity (Respiratory Risk),60.0
0.44,347.96,30.04,73.46,1012.81,19.64,Warning: High Humidity (Respiratory Risk),60.0
0.43,336.92,30.04,73.47,1012.83,19.66,Warning: High Humidity (Respiratory Risk),60.0
0.43,336.92,30.03,73.48,1012.82,19.6,Warning: High Humidity (Respiratory Risk),60.0
0.43,341.79,30.03,73.48,1012.83,19.52,Warning: High Humidity (Respiratory Risk),60.0
0.43,346.72,30.03,73.48,1012.84,19.46,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,341.79,30.03,73.47,1012.84,19.45,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.44,335.72,30.03,73.45,1012.8,19.44,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.42,338.13,30.03,73.44,1012.78,19.41,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,333.32,30.04,73.42,1012.78,19.41,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.42,332.12,30.04,73.41,1012.78,19.39,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,335.72,30.04,73.39,1012.79,19.32,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.42,329.75,30.05,73.37,1012.81,19.24,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.42,329.75,30.05,73.35,1012.81,19.19,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,340.57,30.06,73.33,1012.79,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.43,330.93,30.06,73.31,1012.8,19.2,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,328.57,30.06,73.3,1012.83,19.25,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,329.75,30.06,73.29,1012.8,19.33,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,335.72,30.07,73.29,1012.79,19.37,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.42,326.21,30.07,73.28,1012.8,19.38,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,318.11,30.07,73.26,1012.8,19.39,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.4,327.39,30.07,73.26,1012.79,19.44,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.41,326.21,30.08,73.24,1012.82,19.52,Warning: High Humidity (Respiratory Risk),60.0
0.4,325.04,30.08,73.23,1012.79,19.58,Warning: High Humidity (Respiratory Risk),60.0
0.41,325.04,30.08,73.23,1012.81,19.66,Warning: High Humidity (Respiratory Risk),60.0
0.4,314.69,30.08,73.22,1012.78,19.72,Warning: High Humidity (Respiratory Risk),60.0
0.4,321.56,30.08,73.22,1012.82,19.67,Warning: High Humidity (Respiratory Risk),60.0
0.41,323.88,30.08,73.22,1012.8,19.54,Warning: High Humidity (Respiratory Risk),60.0
0.38,313.56,30.09,73.22,1012.8,19.41,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
